title,location,salary_range,company_name,industry,company_size,ownership_type,job_code,description,company_intro,source_url,updated_at
前端开发工程师,上海-浦东新区,7-12K,上海互联网产业发展集团,"互联网,计算机软件,人工智能,大数据",100-299人,民营,CP-J-FE-001-01,"岗位方向：互联网/软件/数据。负责 Web 前端界面开发、交互实现与性能优化，强调工程质量、跨团队协作与用户体验意识。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握JavaScript、TypeScript、React、Next.js、HTML、CSS，具备学习能力、沟通协作意识和结果交付意识。
加分项：前端开发专项证书，或有校内项目、竞赛、实习、社会实践经历。",上海互联网产业发展集团面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-FE-001-01,2026-05-02
助理前端开发工程师,广州-天河区,6-11K,广州互联网咨询服务有限公司,"互联网,计算机软件,人工智能,大数据",100-299人,国企,CP-J-FE-001-02,"岗位方向：互联网/软件/数据。负责 Web 前端界面开发、交互实现与性能优化，强调工程质量、跨团队协作与用户体验意识。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握JavaScript、TypeScript、React、Next.js、HTML、CSS，具备学习能力、沟通协作意识和结果交付意识。
加分项：前端开发专项证书，或有校内项目、竞赛、实习、社会实践经历。",广州互联网咨询服务有限公司面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-FE-001-02,2026-05-02
前端开发实习工程师,深圳-南山区,10-17K,深圳互联网智能制造有限公司,"互联网,计算机软件,人工智能,大数据",100-299人,上市公司,CP-J-FE-001-03,"岗位方向：互联网/软件/数据。负责 Web 前端界面开发、交互实现与性能优化，强调工程质量、跨团队协作与用户体验意识。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握JavaScript、TypeScript、React、Next.js、HTML、CSS，具备学习能力、沟通协作意识和结果交付意识。
加分项：前端开发专项证书，或有校内项目、竞赛、实习、社会实践经历。",深圳互联网智能制造有限公司面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-FE-001-03,2026-05-02
后端开发工程师,广州-天河区,8-14K,广州互联网咨询服务有限公司,"互联网,计算机软件,人工智能,大数据",500-999人,民营,CP-J-BE-001-01,"岗位方向：互联网/软件/数据。负责服务端接口、数据建模、性能治理与稳定性建设，强调业务抽象和系统设计能力。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握Python、FastAPI、SQL、PostgreSQL、Redis、系统设计，具备学习能力、沟通协作意识和结果交付意识。
加分项：软件设计师，或有校内项目、竞赛、实习、社会实践经历。",广州互联网咨询服务有限公司面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-BE-001-01,2026-05-02
助理后端开发工程师,深圳-南山区,7-13K,深圳互联网智能制造有限公司,"互联网,计算机软件,人工智能,大数据",500-999人,国企,CP-J-BE-001-02,"岗位方向：互联网/软件/数据。负责服务端接口、数据建模、性能治理与稳定性建设，强调业务抽象和系统设计能力。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握Python、FastAPI、SQL、PostgreSQL、Redis、系统设计，具备学习能力、沟通协作意识和结果交付意识。
加分项：软件设计师，或有校内项目、竞赛、实习、社会实践经历。",深圳互联网智能制造有限公司面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-BE-001-02,2026-05-02
后端开发实习工程师,杭州-西湖区,11-19K,杭州互联网现代服务有限公司,"互联网,计算机软件,人工智能,大数据",500-999人,上市公司,CP-J-BE-001-03,"岗位方向：互联网/软件/数据。负责服务端接口、数据建模、性能治理与稳定性建设，强调业务抽象和系统设计能力。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握Python、FastAPI、SQL、PostgreSQL、Redis、系统设计，具备学习能力、沟通协作意识和结果交付意识。
加分项：软件设计师，或有校内项目、竞赛、实习、社会实践经历。",杭州互联网现代服务有限公司面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-BE-001-03,2026-05-02
全栈工程师,深圳-南山区,9-16K,深圳互联网智能制造有限公司,"互联网,计算机软件,人工智能,大数据",1000-9999人,民营,CP-J-FS-001-01,"岗位方向：互联网/软件/数据。同时负责前后端交付，要求较强的问题解决能力、业务理解能力和工程完整性。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握JavaScript、TypeScript、React、Node.js、Python、数据库设计，具备学习能力、沟通协作意识和结果交付意识。
加分项：全栈开发专项证书，或有校内项目、竞赛、实习、社会实践经历。",深圳互联网智能制造有限公司面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-FS-001-01,2026-05-02
助理全栈工程师,杭州-西湖区,8-15K,杭州互联网现代服务有限公司,"互联网,计算机软件,人工智能,大数据",1000-9999人,国企,CP-J-FS-001-02,"岗位方向：互联网/软件/数据。同时负责前后端交付，要求较强的问题解决能力、业务理解能力和工程完整性。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握JavaScript、TypeScript、React、Node.js、Python、数据库设计，具备学习能力、沟通协作意识和结果交付意识。
加分项：全栈开发专项证书，或有校内项目、竞赛、实习、社会实践经历。",杭州互联网现代服务有限公司面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-FS-001-02,2026-05-02
全栈实习工程师,成都-高新区,12-21K,成都互联网创新科技有限公司,"互联网,计算机软件,人工智能,大数据",1000-9999人,上市公司,CP-J-FS-001-03,"岗位方向：互联网/软件/数据。同时负责前后端交付，要求较强的问题解决能力、业务理解能力和工程完整性。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握JavaScript、TypeScript、React、Node.js、Python、数据库设计，具备学习能力、沟通协作意识和结果交付意识。
加分项：全栈开发专项证书，或有校内项目、竞赛、实习、社会实践经历。",成都互联网创新科技有限公司面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-FS-001-03,2026-05-02
测试工程师,杭州-西湖区,10-14K,杭州互联网现代服务有限公司,"互联网,计算机软件,人工智能,大数据",20-99人,民营,CP-J-QA-001-01,"岗位方向：互联网/软件/数据。负责测试计划、功能回归、缺陷跟踪和质量保障，强调细致性与流程意识。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握测试用例设计、接口测试、缺陷管理、SQL、自动化测试基础、质量分析，具备学习能力、沟通协作意识和结果交付意识。
加分项：软件测试工程师，或有校内项目、竞赛、实习、社会实践经历。",杭州互联网现代服务有限公司面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-QA-001-01,2026-05-02
